number,TI,authors,total citations,objective_principal,second_objective,third_objective,fourth_objective,extra_objective,multiobj,animal,kingdoms,carnivore,ungulate,primate,multispecies,technic,equipment,country,continent,source_title,publication_date,publication_year,volume,issue,total citations,doi
916,CRITICAL CONDITION OF THE JAGUAR PANTHERA ONCA POPULATION IN CORCOVADO NATIONAL PARK COSTA RICA,Salom-Perez Roberto; Carrillo Eduardo; Saenz Joel C.; Mora Jose M.,22,density,,,,,,jaguar,mammals,carnivore,,,,cr,ct,Costa Rica,Central America,ORYX,JAN 2007,2007,41,1,22,10.1017/S0030605307001615
917,HUMAN DISTURBANCE AFFECTS HABITAT USE AND BEHAVIOUR OF ASIATIC LEOPARD PANTHERA PARDUS IN KAENG KRACHAN NATIONAL PARK THAILAND,Ngoprasert Dusit; Lynam Antony J.; Gale George A.,21,habitat_use,human disturbance,,,,MultiObj,leopard asiatic,mammals,carnivore,,,,,ct,Thailand,Asia,ORYX,JUL 2007,2007,41,3,21,10.1017/S0030605307001102
918,DISPERSAL OF CANARIUM EUPHYLLUM (BURSERACEAE) A LARGE-SEEDED TREE SPECIES IN A MOIST EVERGREEN FOREST IN THAILAND,Kitamura S; Suzuki S; Yumoto T; Poonswad P; Chuailua P; Plongmai K; Maruhashi T; Noma N; Suckasam C,21,seed_dispersal,,,,,,mammals and birds,multitaxa,,,,,,ct,Thailand,Asia,JOURNAL OF TROPICAL ECOLOGY,MAR 2006,2006,22,,21,10.1017/S0266467405002889
919,RESPONSE OF WILDLIFE TO PRESCRIBED FIRE IN SOUTHWEST FLORIDA PINE FLATWOODS,Main MB; Richardson LW,21,abundance,diversity and fire,,,,MultiObj,mammals and birds,multitaxa,,,,,,ct,Florida,USA,WILDLIFE SOCIETY BULLETIN,SPR 2002,2002,30,1,21,
920,EVALUATING CAMERA TRAPPING AS A METHOD FOR ESTIMATING CHEETAH ABUNDANCE IN RANCHING AREAS,Marnewick Kelly; Funston Paul J.; Karanth K. Ullas,20,abundance,,,,,,cheetah,mammals,carnivore,,,,cr,ct,South Africa,Asia,SOUTH AFRICAN JOURNAL OF WILDLIFE RESEARCH,APR 2008,2008,38,1,20,10.3957/0379-4369-38.1.59
921,CAMERA-TRAP STUDY OF OCELOT AND OTHER SECRETIVE MAMMALS IN THE NORTHERN PANTANAL,Trolle M; Kery M,20,abundance,,,,,,ocelot,mammals,carnivore,,,,cr,ct,Brazil,South America,MAMMALIA,2005,2005,69,3-4,20,10.1515/mamm.2005.032
922,SIZE SELECTIVITY OF SAMPLING GEARS TARGETING RED SNAPPER IN THE NORTHERN GULF OF MEXICO,Wells R. J. David; Boswell Kevin A.; Cowan James H. Jr.; Patterson William F. III,19,marine,,,,,,fish,fish,,,,,,underwater camera,USA,North America,FISHERIES RESEARCH,MAR 2008,2008,89,3,19,10.1016/j.fishres.2007.10.010
923,REMOTE CAMERA-TRAP METHODS AND ANALYSES REVEAL IMPACTS OF RANGELAND MANAGEMENT ON NAMIBIAN CARNIVORE COMMUNITIES,Kauffman Matthew J.; Sanjayan M.; Lowenstein Jacob; Nelson Adam; Jeo Richard M.; Crooks Kevin R.,19,abundance,distribution,,,,MultiObj,carnivores,mammals,carnivore,,,,,ct,Namibia,Africa,ORYX,JAN 2007,2007,41,1,19,10.1017/S0030605306001414
924,THE IMPORTANCE OF PRIVATE LANDS FOR OCELOT LEOPARDUS PARDALIS CONSERVATION IN THE UNITED STATES,Haines AM; Janecka JE; Tewes ME; Grassman LI; Morton P,19,density,,,,,,ocelot,mammals,carnivore,,,,,ct,USA,North America,ORYX,JAN 2006,2006,40,1,19,10.1017/S0030605306000044
925,EVIDENCE OF RESIDENT JAGUARS (PANTHERA ONCA) IN THE SOUTHWESTERN UNITED STATES AND THE IMPLICATIONS FOR CONSERVATION,McCain Emil B.; Childs Jack L.,18,presence,,,,,,jaguar,mammals,carnivore,,,,,ct,USA,North America,JOURNAL OF MAMMALOGY,FEB 2008,2008,89,1,18,10.1644/07-MAMM-F-268.1
926,NOTES ON ABBOTT'S DUIKER (CEPHALOPHUS SPADIX TRUE 1890) AND OTHER FOREST ANTELOPES OF MWANIHANA FOREST UDZUNGWA MOUNTAINS TANZANIA AS REVEALED BY CAMERA-TRAPPING AND DIRECT OBSERVATIONS,Rovero F; Jones T; Sanderson J,18,presence,species,,,,MultiObj,antylope,mammals,,,,,,ct,Tanzania,Africa,TROPICAL ZOOLOGY,JUL 2005,2005,18,1,18,
927,ACTIVITY PATTERN OF ATLANTIC FOREST SMALL ARBOREAL MAMMALS AS REVEALED BY CAMERA TRAPS,Oliveira-Santos Luiz Gustavo R.; Tortato Marcos A.; Graipel Mauricio E.,17,activity_pattern,,,,,,mammals,mammals,,,,,,ct,Brazil,South America,JOURNAL OF TROPICAL ECOLOGY,SEP 2008,2008,24,,17,10.1017/S0266467408005324
928,MONITORING THE SMALL-SCALE DISTRIBUTION OF SYMPATRIC EUROPEAN PINE MARTENS (MARTES MARTES) AND STONE MARTENS (MARTES FOINA): A MULTIEVIDENCE APPROACH USING FAECAL DNA ANALYSIS AND CAMERA-TRAPS,Rosellini Stefano; Osorio Enrique; Ruiz-Gonzalez Aritz; Isabel Ana Pineiroa; Barja Isabel,17,distribution,niche,,,,MultiObj,pine martens,mammals,,,,,,ct feaceal DNA,Spain,Europe,WILDLIFE RESEARCH,2008,2008,35,5,17,10.1071/WR07030
929,DOMESTIC DOGS IN ATLANTIC FOREST PRESERVES OF SOUTH-EASTERN BRAZIL: A CAMERA-TRAPPING STUDY ON PATTERNS OF ENTRANCE AND SITE OCCUPANCY RATES,Srbek-Araujo A. C.; Chiarello A. G.,16,presence,occupancy,,,,MultiObj,domestic dog,mammals,carnivore,,,,,ct,Brazil,South America,BRAZILIAN JOURNAL OF BIOLOGY,NOV 2008,2008,68,4,16,
930,ASSESSING THE CONSERVATION STATUS OF THE TIGER PANTHERA TIGRIS AT PRIORITY SITES IN PENINSULAR MALAYSIA,Lynam Antony J.; Laidlaw Ruth; Noordin Wan Shaharuddin Wan; Elagupillay Sivananthan; Bennett Elizabeth L.,16,density,,,,,,tiger,mammals,carnivore,,,,,ct,Malaysia,Asia,ORYX,OCT 2007,2007,41,4,16,10.1017/S0030605307001019
931,PREDATION ON ARTIFICIAL NESTS AND CATERPILLAR MODELS ACROSS A DISTURBANCE GRADIENT IN SUBIC BAY PHILIPPINES,Posa Mary Rose C.; Sodhi Navjot S.; Koh Lian Pin,16,nest_predation,,,,,,birds,birds,,,,,,ct and live traps,Philippines,Asia,JOURNAL OF TROPICAL ECOLOGY,JAN 2007,2007,23,,16,10.1017/S0266467406003671
932,MAMMAL SURVEY IN THE RIO JAUAPERI REGION RIO NEGRO BASINTHE AMAZON BRAZIL,Trolle M,16,inventory,,,,,,mammals,mammals,,,,,,ct obs interviews,Brazil,South America,MAMMALIA,2003,2003,67,1,16,10.1515/mamm.2003.67.1.75
933,A PICTURE IS WORTH A THOUSAND WORDS: THE APPLICATION OF CAMERA TRAPPING TO THE STUDY OF BIRDS,O'Brien Timothy G.; Kinnaird Margaret F.,15,presence,occupancy,,,,MultiObj,birds,birds,,,,,,ct,Indonesia,Asia,BIRD CONSERVATION INTERNATIONAL,SEP 2008,2008,18,,15,10.1017/S0959270908000348
934,CENSUSING BOBCATS USING REMOTE CAMERAS,Larrucea Eveline S.; Serra Gianluca; Jaeger Michael N.; Barrett Reginald H.,15,density,,,,,,bobcats,mammals,carnivore,,,,cr,ct,USA,North America,WESTERN NORTH AMERICAN NATURALIST,DEC 2007,2007,67,4,15,10.3398/1527-0904(2007)67[538:CBURC]2.0.CO;2
935,MONITORING MAMMALS IN THE CAXIUANU NATIONAL FOREST BRAZIL - FIRST RESULTS FROM THE TROPICAL ECOLOGY ASSESSMENT AND MONITORING (TEAM) PROGRAM,de Souza Martins Simone; Sanderson James G.; de Sousa e Silva-Junior Jose,15,richness,,,,,,mammals,mammals,,,,,,ct,Brazil,South America,BIODIVERSITY AND CONSERVATION,APR 2007,2007,16,4,15,10.1007/s10531-006-9094-x
936,A PRELIMINARY DENSITY ESTIMATE FOR ANDEAN BEAR USING CAMERA-TRAPPING METHODS,Rios-Uzeda Boris; Gomez Humberto; Wallace Robert B.,15,density,,,,,,bears andean,mammals,carnivore,,,,,ct,Bolivia,South America,URSUS,2007,2007,18,1,15,10.2192/1537-6176(2007)18[124:APDEFA]2.0.CO;2
937,THE USE OF POISON EGGS FOR THE CONTROL OF STOATS,Dilks P; Lawrence B,15,invasion,,,,,,stoats,mammals,,,,,,ct +radiotracking,New Zealand,Australia,NEW ZEALAND JOURNAL OF ZOOLOGY,SEP 2000,2000,27,3,15,
938,OPPORTUNISTIC USE OF CAMERA TRAPS TO ASSESS HABITAT-SPECIFIC MAMMAL AND BIRD DIVERSITY IN NORTHCENTRAL NAMIBIA,Stein Andrew B.; Fuller Todd K.; Marker Laurie L.,14,habitat_use,,,,,,mammals and birds,multitaxa,,,,,,ct,Namibia,Africa,BIODIVERSITY AND CONSERVATION,DEC 2008,2008,17,14,14,10.1007/s10531-008-9442-0
939,COMPOSITION AND RELATIVE ABUNDANCE OF THE MEDIUM-LARGE SIZED MAMMALS OF TURVO STATE PARK RIO GRANDE DO SUL BRAZIL,Kasper Carlos B.; Mazim Fabio D.; Soares Jose B. G.; de Oliveira Tadeu G.; Fabian Marta E.,14,richness,abundance,,,,MultiObj,mammals,mammals,,,,,,ct,Brazil,South America,REVISTA BRASILEIRA DE ZOOLOGIA,DEC 2007,2007,24,4,14,10.1590/S0101-81752007000400028
940,EFFECT OF DISTANCE AND DENSITY ON SEED/SEEDLING FATE OF TWO DIPTEROCARP SPECIES,Takeuchi Yayoi; Nakashizuka Tohru,13,seed_dispersal,,,,,,mammals,mammals,,,,,,ct,Malaysia,Asia,FOREST ECOLOGY AND MANAGEMENT,AUG 15 2007,2007,247,1-3,13,10.1016/j.foreco.2007.04.028
941,A CAMERA TRAPPING INVENTORY FOR MAMMALS IN A MIXED USE PLANTED FOREST IN SARAWAK,Giman Belden; Stuebing Robert; Megum Nyegang; Mcshea William J.; Stewart Chad M.,13,inventory,,,,,,mammals,mammals,,,,,,ct,Malaysia,Asia,RAFFLES BULLETIN OF ZOOLOGY,FEB 28 2007,2007,55,1,13,
942,DIFFERENTIAL HABITAT USE BY TWO SYMPATRIC BROCKET DEER SPECIES (MAZAMA AMERICANA AND M-GOUAZOUBIRA) IN A SEASONAL CHIQUITANO FOREST OF BOLIVIA,Rivero K; Rumiz DI; Taber AB,13,habitat_use,niche,,,,MultiObj,deer,mammals,herbivours,,,,,ct,Bolivia,South America,MAMMALIA,2005,2005,69,2,13,10.1515/mamm.2005.015
943,NEST PREDATION RISK ON GROUND AND SHRUB NESTS IN FOREST MARGIN AREAS OF SULAWESI INDONESIA,Pangau-Adam Margaretha Z.; Waltert Matthias; Muehlenberg Michael,12,nest_predation,,,,,,rodens,mammals,,,,,,ct,Indonesia,Asia,BIODIVERSITY AND CONSERVATION,DEC 2006,2006,15,13,12,10.1007/s10531-005-3370-z
944,FROM THE FIELD: USE OF CAMERA TRAPS TO MEASURE PREDATION RISK IN A PUMA-MULE DEER SYSTEM,Hernandez L; Laundre JW; Gurung M,12,predation,,,,,,puma and deer,mammals,,,,,,ct,USA,North America,WILDLIFE SOCIETY BULLETIN,SPR 2005,2005,33,1,12,10.2193/0091-7648(2005)33[353:FTFUOC]2.0.CO;2
945,STATUS OF AMERICAN MARTENS IN COASTAL FORESTS OF THE PACIFIC STATES,Zielinski WJ; Slauson KM; Carroll CR; Kent CJ; Kudrna DG,12,presence,,,,,,martens,mammals,carnivore,,,,,ct,USA,North America,JOURNAL OF MAMMALOGY,MAY 2001,2001,82,2,12,10.1644/1545-1542(2001)082<0478:SOAMIC>2.0.CO;2
946,USING PREGNANCY RATES AND PERINATAL MORTALITY TO EVALUATE THE SUCCESS OF RECOVERY STRATEGIES FOR ENDANGERED ISLAND FOXES,Clifford D. L.; Woodroffe R.; Garcelon D. K.; Timm S. F.; Mazet J. A. K.,11,recovery strategy,,,,,,fox,mammals,carnivore,,,,,ct,USA,North America,ANIMAL CONSERVATION,NOV 2007,2007,10,4,11,10.1111/j.1469-1795.2007.00129.x
947,DETECTION RATES OF EASTERN SPOTTED SKUNKS (SPILOGALE PUTORIUS) IN MISSOURI AND ARKANSAS USING LIVE-CAPTURE AND NON-INVASIVE TECHNIQUES,Hackett H. Mundy; Lesmeister Damon B.; Desanty-Combes Jacqueline; Montague Warren G.; Millspaugh Joshua J.; Gompper Matthew E.,11,presence,,,,,,skunks,mammals,carnivore,,,,,ct box traps live capture,USA,North America,AMERICAN MIDLAND NATURALIST,JUL 2007,2007,158,1,11,10.1674/0003-0031(2007)158[123:DROESS]2.0.CO;2
948,SYSTEMATIC IMAGES FROM CAMERA-TRAPS : A PROPOSAL OF DATA CARD,Botello Francisco; Monroy Gabriela; Illoldi-Rangel Patricia; Trujillo-Bolio Ivan; Sanchez-Cordero Victor,11,review,techinc,,,,MultiObj,,,,,,,,,,,REVISTA MEXICANA DE BIODIVERSIDAD,JUN 2007,2007,78,1,11,
949,EFFECTIVENESS OF NON-INVASIVE TECHNIQUES FOR SURVEYING ACTIVITY AND HABITAT USE OF THE INDIAN FOX VULPES BENGALENSIS IN SOUTHERN INDIA,Vanak Abi Tamim; Gompper Matthew. E.,11,activity_pattern,habitat use,,,,MultiObj,fox,mammals,carnivore,,,,,ct,India,Asia,WILDLIFE BIOLOGY,JUN 2007,2007,13,2,11,10.2981/0909-6396(2007)13[219:EONTFS]2.0.CO;2
950,USING CAMERA-TRAPPING TO INVESTIGATE THE USE OF A TREE AS A SCENT-MARKING POST BY CHEETAHS IN THE THABAZIMBI DISTRICT,Marnewick K. A.; Bothma J. du P.; Verdoorn G. H.,11,behaviour,,,,,,cheetah,mammals,carnivore,,,,,ct,RPA,Africa,SOUTH AFRICAN JOURNAL OF WILDLIFE RESEARCH,OCT 2006,2006,36,2,11,
951,CAMERA TRAPPING AND CONSERVATION IN LAMBIR HILLS NATIONAL PARK SARAWAK,Mohd. Azlan J.; Lading Engkamat,11,inventory,,,,,,mammals,mammals,,,,,,ct,Malaysia,Asia,RAFFLES BULLETIN OF ZOOLOGY,AUG 31 2006,2006,54,2,11,
952,MAMMAL DIVERSITY AND CONSERVATION IN A SECONDARY FOREST IN PENINSULAR MALAYSIA,Azad MAJBA,11,inventory,,,,,,mammals,mammals,,,,,,ct,Malaysia,Asia,BIODIVERSITY AND CONSERVATION,MAR 2006,2006,15,3,11,10.1007/s10531-004-3953-0
953,ASSESSING CAMERA TRAPS FOR SURVEYING THE EUROPEAN MINK MUSTELA LUTREOLA (LINNAEUS 1761) DISTRIBUTION,Gonzalez-Esteban J; Villate I; Irizar I,11,distribution,,,,,,mink,mammals,carnivore,,,,,ct,Europe,Europe,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,MAR 2004,2004,50,1,11,10.1007/s10344-003-0031-y
954,PRESENCE-ABSENCE SURVEYS OF PREY AND THEIR USE IN PREDICTING LEOPARD (PANTHERA PARDUS) DENSITIES: A CASE STUDY FROM ARMENIA,Khorozyan Igor G.; Malkhasyan Alexander G.; Abramov Alexei V.,10,presence,absence prey,,,,MultiObj,leopard asiatic,mammals,carnivore,,,,,ct,Armenia,Europe,INTEGRATIVE ZOOLOGY,DEC 2008,2008,3,4,10,10.1111/j.1749-4877.2008.00111.x
955,CAMERA TRAPPING RARE AND THREATENED AVIFAUNA IN WEST-CENTRAL SUMATRA,Dinata Yoan; Nugroho Agung; Haidir Iding Achmad; Linkie Matthew,10,inventory,,,,,,birds,birds,,,,,,ct,Sumatra,Asia,BIRD CONSERVATION INTERNATIONAL,MAR 2008,2008,18,1,10,10.1017/S0959270908000051
956,USE OF CAMERA TRAPS IN MAMMAL SAMPLING: METHODOLOGICAL CONSIDERATIONS AND COMPARISON OF EQUIPMENTS,Srbek-Araujo Ana C.; Chiarello Adriano G.,10,review,technic,,,,MultiObj,,,,,,,,,,,REVISTA BRASILEIRA DE ZOOLOGIA,SEP 2007,2007,24,3,10,10.1590/S0101-81752007000300016
957,RARE SEED-PREDATING MAMMALS DETERMINE SEED FATE OF CANARIUM EUPHYLLUM A LARGE-SEEDED TREE SPECIES IN A MOIST EVERGREEN FOREST THAILAND,Kitamura Shumpei; Yumoto Takakazu; Poonswad Pilai; Suzuki Shunsuke; Wohandee Prawat,9,seed_predation,,,,,,mammals,mammals,,,,,,ct,Thailand,Asia,ECOLOGICAL RESEARCH,JAN 2008,2008,23,1,9,10.1007/s11284-007-0350-7
958,NEST PREDATION OF TRACHEMYS DORBIGNI (DUMERIL & BIBRON) (TESTUDINES EMYDIDAE) IN SOUTHERN BRAZIL,Goncalves Fernanda A.; Cechin Sonia Z.; Bager Alex,9,nest_predation,,,,,,turtle,reptile,,,,,,ct,Brazil,South America,REVISTA BRASILEIRA DE ZOOLOGIA,DEC 2007,2007,24,4,9,10.1590/S0101-81752007000400025
959,CHECKLIST OF MAMMALS OF THE UDZUNGWA MOUNTAINS OF TANZANIA,Rovero Francesco; De Luca Daniela W.,9,inventory,,,,,,mammals,mammals,,,,,,ct,Tanzania,Africa,MAMMALIA,2007,2007,71,1-2,9,10.1515/MAMM.2007.015
960,EXPERIMENTING USAGE OF CAMERA-TRAPS-FOR POPULATION DYNAMICS STUDY OF THE ASIAN ELEPHANT ELEPHAS MAXIMUS IN SOUTHERN INDIA,Varma Surendra; Pittet Andre; Jamadagni H. S.,9,inventory,,,,,,elephants,mammals,,,,,,ct,India,Asia,CURRENT SCIENCE,AUG 10 2006,2006,91,3,9,
961,CURRENT STATUS OF THE WESTERN GRAY SQUIRREL POPULATION IN THE PUGET TROUGH WASHINGTON,Bayrakci R; Carey AB; Wilson TM,9,presence,,,,,,squirrel,mammals,carnivore,,,,,ct,USA,North America,NORTHWEST SCIENCE,FAL 2001,2001,75,4,9,
962,EVALUATION OF SCENT-STATION SURVEYS TO MONITOR THE DISTRIBUTION OF THREE EUROPEAN CARNIVORE SPECIES (MARTES FOINA MELES MELES VULPES VULPES) IN A FRAGMENTED LANDSCAPE,Mortelliti Alessio; Boltani Luigi,8,distribution,fragmentation,,,,MultiObj,carnivore,mammals,carnivore,,,,,ct,Italy,Europe,MAMMALIAN BIOLOGY,2008,2008,73,4,8,10.1016/j.mambio.2007.03.001
963,NON-INTRUSIVE MONITORING OF OTTERS (LUTRA LUTRA) USING INFRARED TECHNOLOGY,de Leaniz C. Garcia; Forman D. W.; Davies S.; Thomson A.,8,monitoring,,,,,,otter,mammals,carnivore,,,,,ct,England,Europe,JOURNAL OF ZOOLOGY,DEC 2006,2006,270,4,8,10.1111/j.1469-7988.2006.00124.x
964,NEW METHOD OF MONITORING REMOTE WILDLIFE VIA THE INTERNET,Yasuda M; Kawakami K,8,monitoring,,,,,,wildlife,multitaxa,,,,,,ct,,,ECOLOGICAL RESEARCH,JAN 2002,2002,17,1,8,10.1046/j.1440-1703.2002.00467.x
965,FURTHER NOTES ON THE ANALYSIS OF MAMMAL INVENTORY DATA COLLECTED WITH CAMERA TRAPS,Tobler M. W.; Carrillo-Percastegui S. E.; Pitman R. Leite; Mares R.; Powell G.,7,review,,,,,,mammals,mammals,,,,,,ct,,,ANIMAL CONSERVATION,JUN 2008,2008,11,3,7,10.1111/j.1469-1795.2008.00181.x
966,MARK-RESIGHT DENSITY ESTIMATION FOR AMERICAN BLACK BEARS IN HOOPA CALIFORNIA,Matthews Sean M.; Golightly Richard T.; Higley J. Mark,7,density,,,,,,bear,mammals,carnivore,,,,mark-resight,ct radio telemetry and others,USA,North America,URSUS,2008,2008,19,1,7,10.2192/1537-6176(2008)19[13:MDEFAB]2.0.CO;2
967,THE SULAWESI PALM CIVET: EXPANDED DISTRIBUTION OF A LITTLE KNOWN ENDEMIC VIVERRID,Lee RJ; Riley J; Hunowu L; Maneasa E,7,distribution,,,,,,viverrid,mammals,carnivore,,,,,ct,Sulawesi,Asia,ORYX,JUL 2003,2003,37,3,7,10.1017/S0030605303000656
968,ANIMAL ATTENDANCE AT COYOTE TRAP SITES IN TEXAS,Shivik JA; Gruver KS,7,presence,,,,,,coyote,mammals,carnivore,,,,,ct,USA,North America,WILDLIFE SOCIETY BULLETIN,SUM 2002,2002,30,2,7,
969,LONG-TERM AUTOMATIC VIDEO RECORDING AS A TOOL FOR ANALYSING THE TIME PATTERNS OF UTILISATION OF PREDEFINED LOCATIONS BY WILD ANIMALS,Scheibe Klaus Manfred; Eichhorn Knut; Wiesmayr Martina; Schonert Beate; Krone Oliver,6,behaviour,,,,,,wildlife,,,,,,,IR camera,,,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,FEB 2008,2008,54,1,6,10.1007/s10344-007-0108-0
970,SAFE AND SELECTIVE CAPTURE TECHNIQUE FOR JAGUARS IN THE PARAGUAYAN CHACO,McBride R. T. Jr.; McBride R. T.,6,presence,,,,,,jaguar,mammals,carnivore,,,,,ct,Paraguay,South America,SOUTHWESTERN NATURALIST,DEC 2007,2007,52,4,6,10.1894/0038-4909(2007)52[570:SASCTF]2.0.CO;2
971,GEOGRAPHIC DISTRIBUTION AND CONSERVATION STATUS OF THE BAY CAT CATOPUMA BADIA A BORNEAN ENDEMIC,Mohd-Azlan J.; Sanderson Jim,6,distribution,,,,,,bay cat,mammals,carnivore,,,,,ct,Borneo,Asia,ORYX,JUL 2007,2007,41,3,6,10.1017/S0030605307000516
972,'NEW BORNEAN CARNIVORE' IS MOST LIKELY A LITTLE KNOWN FLYING SQUIRREL,Meijaard Erik; Kitchener Andrew C.; Smeenk Chris,6,presence,,,,,,squirrel,mammals,carnivore,,,,,ct,Borneo,Asia,MAMMAL REVIEW,OCT 2006,2006,36,4,6,10.1111/j.1365-2907.2006.00089.x
973,CRITICALLY ENDANGERED ARABIAN LEOPARDS PANTHERA PARDUS NIMR PERSIST IN THE JABAL SAMHAN NATURE RESERVE OMAN,Spalton James Andrew; al Hikmani Hadi Musalam; Willis David; Said Ali Salim Bait,6,presence,,,,,,leopard Panthera pardus nimr ,mammals,carnivore,,,,,ct,Oman,Asia,ORYX,JUL 2006,2006,40,3,6,10.1017/S0030605306000743
974,STATUS AND CONSERVATION OF THE SNOW LEOPARD PANTHERA UNCIA IN THE GOULI REGION KUNLUN MOUNTAINS CHINA,Xu Aichun; Jiang Zhigang; Li Chungwang; Guo Jixun; Da Shenglin; Cui Qinghu; Yu Shuangying; Wu Guosheng,5,presence,,,,,,snow leopard,mammals,carnivore,,,,,ct,China,Asia,ORYX,JUL 2008,2008,42,3,5,10.1017/S0030605308000252
975,MONITORING AND DISTRIBUTION OF THE LYNX LYNX LYNX IN THE SWISS JURA MOUNTAINS,Capt Simon,5,distribution,monitoring,,,,MultiObj,lynx,mammals,carnivore,,,,,ct,Switzeland,Europe,WILDLIFE BIOLOGY,DEC 2007,2007,13,4,5,10.2981/0909-6396(2007)13[356:MADOTL]2.0.CO;2
976,SOCIAL RELATIONSHIPS IN A BANK VOLE CLETHRIONOMYS GLAREOLUS (SCHREBER 1780) POPULATION: VIDEO MONITORING UNDER FIELD CONDITIONS,Lopucki Rafal,5,behaviour,social ,,,,MultiObj,bank vole,mammals,carnivore,,,,,mini camera,Poland,Europe,POLISH JOURNAL OF ECOLOGY,2007,2007,55,3,5,
977,FROM THE FIELD: ARMORING THE CAMTRAKKER (R) CAMERA-TRAP IN A TROPICAL ASIAN FOREST,Grassman LI; Tewes FE; Silvy AJ,5,methodology,,,,,,elephant,mammals,,,,,,ct,India,Asia,WILDLIFE SOCIETY BULLETIN,SPR 2005,2005,33,1,5,10.2193/0091-7648(2005)33[349:FTFATC]2.0.CO;2
978,DISTRIBUTION HABITAT ASSOCIATION AND ACTIVITY PLATTERNS OF MEDIUM AND LARGE SIZED MAMMALS OF SOHORA MEXICO,Pina GPL; Gamez RAC; Gonzalez CAL,5,distribution,habitat association and activity platterns,,,,MultiObj,mammals,mammals,,,,,,ct,Mexico,North America,NATURAL AREAS JOURNAL,OCT 2004,2004,24,4,5,
979,NOTEWORTHY RECORDS OF MARGAY LEOPARDUS WIEDII AND OCELOT LEOPARDUS PARDALIS IN THE STATE OF GUANAJUATO MEXICO,Iglesias Jesus; Sanchez-Cordero Victor; Magana-Cota Gloria; Bolanos Ricardo; Aranda Marcelo; Hernandez Raul; Javier Botello Francisco,4,presence,,,,,,margay ocelot,mammals,carnivore,,,,,ct,Mexico,North America,MAMMALIA,DEC 2008,2008,72,4,4,10.1515/MAMM.2008.036
980,CARNIVORE USE OF AN AVOCADO ORCHARD IN SOUTHERN CALIFORNIA,Borchert Mark; Davis Frank W.; Kreitler Jason,4,feeding_ecology,,,,,,carnivore,mammals,carnivore,,,,,ct,USA,North America,CALIFORNIA FISH AND GAME,SPR 2008,2008,94,2,4,
981,SEASONAL USE OF A WATERHOLE BY NUBIAN IBEX CAPRA NUBIANA (ARTIODACTYLA : BOVIDAE),Wakefield Simon; Attum Omar; Robinson Earnest Robert; Sandoka Mohammed Abdulkader,4,habitat_use,,,,,,nubian ibex,mammals,,,,,,ct,Saudi Arabia,Asia,MAMMALIA,2008,2008,72,2,4,10.1515/MAMM.2008.014
982,FIRST RECORDS IN TANZANIA OF THE VULNERABLE JACKSON'S MONGOOSE BDEOGALE JACKSONI (HERPESTIDAE),De Luca Daniela W.; Rovero Francesco,4,presence,,,,,,mongoose,mammals,,,,,,ct,Tanzania,Africa,ORYX,OCT 2006,2006,40,4,4,10.1017/S0030605306001396
983,A FISH BODY LENGTH MEASURING METHOD USING AN UNDERWATER VIDEO CAMERA IN COMBINATION WITH LASER DISCHARGE EQUIPMENT,Yoshihara K,4,marine,,,,,,fish,fish,,,,,,camera,Antarctica,Antarctica,FISHERIES SCIENCE,OCT 1997,1997,63,5,4,
984,EVALUATION OF PREDATOR ATTENDANCE AT PITFALL TRAPS IN TEXAS,Ferguson Adam W.; Weckerly Floyd W.; Baccus John T.; Forstner Michael R. J.,3,presence,,,,,,mammals,mammals,,,,,,ct pitfall transect,USA,North America,SOUTHWESTERN NATURALIST,DEC 2008,2008,53,4,3,10.1894/CLG-05.1
985,HOW RARE IS THE RARE ANDEAN CAT?,Lucherini Mauro; Vidal Estela Luengos; Merino Maria J.,3,presence,,,,,,andean cat,mammals,carnivore,,,,,ct DNA,Argentina,South America,MAMMALIA,2008,2008,72,2,3,10.1515/MAMM.2008.018
986,MAMMAL SURVEY AT A RANCH OF THE BRAZILIAN CERRADO,Trolle Mogens; Bissaro Marcos Cesar; Prado Helbert Medeiros,3,inventory,,,,,,mammals,mammals,,,,,,ct,Brazil,South America,BIODIVERSITY AND CONSERVATION,APR 2007,2007,16,4,3,10.1007/s10531-006-9106-x
987,STOUFFER (R) WILDLIFE TIMERS AS AN INDEX OF VERTEBRATE ACTIVITY PERIODS IN A TROPICAL FOREST,Grassman LI; Haines AM; Tewes ME; Silvy NJ,3,methodology,comment,,,,MultiObj,,multitaxa,,,,,,,,,WILDLIFE SOCIETY BULLETIN,FAL 2005,2005,33,3,3,10.2193/0091-7648(2005)33[1174:FTFSWT]2.0.CO;2
988,LONG TIME-SERIES MONITORING OF THE ECOSYSTEM AT DECEPTION ISLAND ANTARCTICA: DESCRIPTION OF INSTRUMENTATION,Glatts RC; Uhlman AH; Smith KL; Baldwin RJ,3,methodology,,,,,,,,,,,,,,,,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,2003,2003,50,10-11,3,10.1016/S0967-0645(03)00083-3
